"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1893","Welcome to Twitter @botsnot1 Prof Steven Higgins @Otago, now speaking at #nzes2015 on dynamic global vegetation models",FALSE,3,NA,2015-11-17 20:28:43,FALSE,NA,"666714605574492160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",1,FALSE,FALSE,NA,NA
"1894","#nzes2015 C2 Emeny: Urban #pingao harvested and used for traditional Māori weaving. @buckleyhannah",FALSE,1,NA,2015-11-17 20:28:16,FALSE,NA,"666714492672196608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bugblokenz",0,FALSE,FALSE,NA,NA
"1895","RT @AlisonBallance: 'Our forest is our life'. 'I am the forest &amp; the forest is me'. Brenda Tahi from Tuhoe Tuawhenua #nzes2015",FALSE,0,NA,2015-11-17 20:27:29,FALSE,NA,"666714296873709568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Olivefarmer",5,TRUE,FALSE,NA,NA
"1896","How Dynamic Global Vegetation Models (DGVMs) how they work and what they do - Higgins #nzes2015",FALSE,0,NA,2015-11-17 20:27:07,FALSE,NA,"666714204150218752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1897","RT @bugblokenz: #nzes2015 Lear: ""Don't discount any ecological rule until you've looked at the micro-organisms.""",FALSE,0,NA,2015-11-17 20:27:00,FALSE,NA,"666714173192056832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Olivefarmer",6,TRUE,FALSE,NA,NA
"1898","#nzes2015 C2 Emeny: Opposite of ""placelessness"". Plug for ""Last Child in the Woods"" https://t.co/MPh7y9dwK8 #NatureDeficitDisorder",FALSE,0,NA,2015-11-17 20:26:49,FALSE,NA,"666714126903697408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bugblokenz",0,FALSE,FALSE,NA,NA
"1899","Higgins: NZ forests not exempt from changing climate with similar changes to global phenology in the last three decades #nzes2015",FALSE,1,NA,2015-11-17 20:26:45,FALSE,NA,"666714111527505927",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jcusens",0,FALSE,FALSE,NA,NA
"1900","NZ Forest phenology is changing and likely changing with climate change 
- Higgins #nzes2015",FALSE,1,NA,2015-11-17 20:26:20,FALSE,NA,"666714005323382784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1901","@StatisticsNZ at #nzes2015 discussing environmental reporting - 'open spaces, open hearts and open minds' theme appears again",FALSE,0,"StatisticsNZ",2015-11-17 20:25:14,FALSE,NA,"666713726859407361","56802117","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marieamanda83",2,FALSE,FALSE,NA,NA
"1902","RT @jcusens: Higgins: arguing for the value of models in understanding processes in NZ forests #nzes2015",FALSE,0,NA,2015-11-17 20:24:57,FALSE,NA,"666713655895961600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",1,TRUE,FALSE,NA,NA
"1903","RT @AlisonBallance: Our Changing Forest's symposium at #nzes2015 chaired by @LoraxCate @RNZ_Science Giant Kauri Trees &amp; Climate Change http…",FALSE,0,NA,2015-11-17 20:24:49,FALSE,NA,"666713624958779392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Olivefarmer",3,TRUE,FALSE,NA,NA
"1904","#nzes2015 C2 Emeny: Nature interactions in daily, weekly, monthly ""doses"" promote human health &amp; wellbeing #biophilia",FALSE,0,NA,2015-11-17 20:23:53,FALSE,NA,"666713387523379201",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bugblokenz",0,FALSE,FALSE,NA,NA
"1905","#nzes2015 symposium on Our Changing Forests run by @LoraxCate. First up keynote by Steven Higgins on the future of NZ forests",FALSE,0,NA,2015-11-17 20:23:40,FALSE,NA,"666713335388176384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",0,FALSE,FALSE,NA,NA
"1906","Higgins: arguing for the value of models in understanding processes in NZ forests #nzes2015",FALSE,1,NA,2015-11-17 20:22:30,FALSE,NA,"666713042571370497",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jcusens",1,FALSE,FALSE,NA,NA
"1907","#nzes2015 C2 Emeny: Cultural ecosystem services - intangible, hard to measure, but central to our national identity.",FALSE,0,NA,2015-11-17 20:21:28,FALSE,NA,"666712782721581056",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bugblokenz",1,FALSE,FALSE,NA,NA
"1908","1. #bfmbombathon
2. #1DNZ
3. #MTVStars
4. #nzes2015
5. Mitchell Johnson

2015/11/18 09:14 NZDT #trndnl https://t.co/WiiLMe8GDw",FALSE,0,NA,2015-11-17 20:20:37,FALSE,NA,"666712568879124480",NA,"<a href=""http://trendinalia.com"" rel=""nofollow"">New Zealand Trends</a>","trendinaliaNZ",0,FALSE,FALSE,"170.3666","-43.5877"
"1909","And now @botsnot1 talking on forests. The future of NZ forests  #nzes2015",FALSE,0,NA,2015-11-17 20:20:18,FALSE,NA,"666712485991354369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1910","TT NEW ZEALAND 08:20
1.#bfmbombathon
2.#1DNZ
3.#MTVStars
4.#nzes2015
5.Mitchell Johnson
6.Charlie Sheen
7.#stepdave
8.ISIS
9.West
10.Syria",FALSE,0,NA,2015-11-17 20:20:09,FALSE,NA,"666712448544690176",NA,"<a href=""http://twitter.com/TTmobile_"" rel=""nofollow"">myttmobile</a>","TTMobile_nz",0,FALSE,FALSE,NA,NA
"1911","now at #nzes2015 symposium ""our changing forests"" with Steve Higgins talking about uncertainties in projecting changes in NZ forests",FALSE,0,NA,2015-11-17 20:19:55,FALSE,NA,"666712389778305024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jcusens",0,FALSE,FALSE,NA,NA
"1912","Our Changing Forest's symposium at #nzes2015 chaired by @LoraxCate @RNZ_Science Giant Kauri Trees &amp; Climate Change https://t.co/Xt4vgw15AD",FALSE,3,NA,2015-11-17 20:19:25,FALSE,NA,"666712263252836352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",3,FALSE,FALSE,NA,NA
"1913","Starting now: Symposium on our changing forests! #nzes2015",FALSE,0,NA,2015-11-17 20:19:17,FALSE,NA,"666712231103492096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julekap",0,FALSE,FALSE,NA,NA
"1914","RT @AlisonBallance: Rena recap: The tough call that paid off https://t.co/34baelH0ol @Jamienzherald reports from #nzes2015",FALSE,0,NA,2015-11-17 20:19:07,FALSE,NA,"666712189441568768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BradRobson1",2,TRUE,FALSE,NA,NA
"1915","RT @marieamanda83: There are major public policy implications for undermining DOC as the lead agent of conservation - if not them, then who…",FALSE,0,NA,2015-11-17 20:19:05,FALSE,NA,"666712180436267008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monica_a_peters",4,TRUE,FALSE,NA,NA
"1916","Taking a bit of time out from from #nzes2015 to brush up on media skills with the Science Media Centre team @smcnz",FALSE,0,NA,2015-11-17 20:18:03,FALSE,NA,"666711919705788416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monica_a_peters",0,FALSE,FALSE,NA,NA
"1917","RT @AlisonBallance: 'Translocation is just 1 tool in the conservation toolbox' - Kevin Parker would like to make himself redundant #nzes2015",FALSE,0,NA,2015-11-17 20:17:29,FALSE,NA,"666711778206724096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",3,TRUE,FALSE,NA,NA
"1918","#nzes2015 great to see Doug Armstrong's work over many years acknowledged",FALSE,0,NA,2015-11-17 20:17:06,FALSE,NA,"666711683801284608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CillaWehi",0,FALSE,FALSE,NA,NA
"1919","'Translocation is just 1 tool in the conservation toolbox' - Kevin Parker would like to make himself redundant #nzes2015",FALSE,3,NA,2015-11-17 20:16:52,FALSE,NA,"666711622887456768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",3,FALSE,FALSE,NA,NA
"1920","RT @AlisonBallance: Doug Armstrong's work on bird translocations name-checked by Kevin at #nzes2015 @RNZ_Science podcast: Moving animals ht…",FALSE,0,NA,2015-11-17 20:15:03,FALSE,NA,"666711167146962945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",3,TRUE,FALSE,NA,NA
"1921","It's all about habitat - Kevin Parker #nzes2015",FALSE,0,NA,2015-11-17 20:14:32,FALSE,NA,"666711037635264512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1922","Royal Albatrosses Text Home: Junichi Sugishita studying albatrosses at @AlbatrossCentre https://t.co/lqQJrQLXgR #nzes2015",FALSE,1,NA,2015-11-17 20:14:15,FALSE,NA,"666710962611744768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",1,FALSE,FALSE,NA,NA
"1923","RT @tinkerbel405: ""In our attempt to make conservation easy we have made it trivial""Kevin Parker #nzes2015 -let's not continue down this ro…",FALSE,0,NA,2015-11-17 20:12:33,FALSE,NA,"666710535598018560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marieamanda83",1,TRUE,FALSE,NA,NA
"1924","Coming up next at #nzes2015 Steven Higgins on future states of NZ forests @RNZ_Science podcast: Invasive trees https://t.co/N8HQ9IQsrt",FALSE,2,NA,2015-11-17 20:12:24,FALSE,NA,"666710499002679296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlisonBallance",1,FALSE,FALSE,NA,NA
"1925","@Jamienzherald Unfortunately I'm not at #nzes2015 this year, but hope to make next year's conference #fingerscrossed #bats",FALSE,2,"Jamienzherald",2015-11-17 20:12:02,FALSE,"666708751198457856","666710407130648576","733707282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZBatman",0,FALSE,FALSE,NA,NA
"1926","Beyond birds!!!! Nice plug for everything else - Kevin Parker #nzes2015",FALSE,0,NA,2015-11-17 20:11:32,FALSE,NA,"666710280395558912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinkerbel405",0,FALSE,FALSE,NA,NA
"1927","Enviro stat: Wellington getting less windy – I’m talking about enviro reporting at the Ecological Society conference this morning #NZES2015",FALSE,1,NA,2015-11-17 20:11:30,FALSE,NA,"666710271990194176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GovStatistician",0,FALSE,FALSE,NA,NA
